Post_Id,PostDate,Title,AccountName,BenefitType,MapCoordinates,SpecialOccasion,AddressArea,InterestCategoryIds,AreaIds,Audience,Type_Event,Type_Benefit,FeaturedImage,Picture1,Picture2,AccountId,Summary,Description,AddressText,AddressLandmark,AddressPinCode,LinkToMap,Parking,Telephone,StartDate,EndDate,BenefitCode,BenefitDescription,PaymentRequired,PriceFull,PriceAfterDiscount,PricePercentageDiscount,FullDayEvent,URLWebPage,URLFacebookPage,URLOfferPage,AreaEntireCity
3290,"2017-11-07 13:18:36","After development?","Adlabs Imagica",,"a:3:{s:7:""address"";s:74:""TCS Approach Rd, Laxmi Nagar, Thane West, Thane, Maharashtra 400606, India"";s:3:""lat"";s:18:""19.207375031638648"";s:3:""lng"";s:17:""72.97003784158733"";}",,22,"100,97,98",,"89,90,91",1,0,https://s3-eu-west-1.amazonaws.com/wp-images.digithane.in/uploads/2017/11/15083095962112041527-new.jpg,,,1977,222222222222222222222222222222222222222222222222222222,223333333333333333333333333333333333333333333333333333333333333333333,222222222222222222222222222222222222222222222222222222222222222222222222,,,1,0,333333333333333333333333333333333333333333333333333333333333333,"2017-07-01 00:00:00","2017-11-30 00:00:00",,,1,,,,,,,,0
1986,"2017-08-15 09:47:39","Adlabs Imagica- Fun Begins here","Adlabs Imagica",,"a:3:{s:7:""address"";s:47:""Adlabs Imagica, Sangadewadi, Maharashtra, India"";s:3:""lat"";s:10:""18.7672006"";s:3:""lng"";s:17:""73.28099640000005"";}",,31,25,,"89,90,91,92,93,131",0,1,https://s3-eu-west-1.amazonaws.com/wp-images.digithane.in/uploads/2017/08/banner_indoorrides_3.jpg,https://s3-eu-west-1.amazonaws.com/wp-images.digithane.in/uploads/2017/08/final_imagica_composite.jpg,,1977,"Planning for a holiday this weekend? Want to get away from the hustling city? Connoisseur of the thrill & adventure? 

Your DIGITHANE card can now get you fun filled and adventure packed experience at Imagica – India's favourite holiday destination. 

Adlabs Imagica is proud to announce an irresistible offer for all DigiThane card holders and their families to cherish the memories at Imagica.
","Imagica is a magical & fun-filled world of its own, offering entertainment, fun, relaxation, dining and shopping at a single location.
Offering a world class Theme Park, international standard Water Park, India’s largest themed Snow Park & first theme park hotel - the luxurious Novotel Imagica. India’s favorite family holiday destination, Imagica is located off the Mumbai - Pune expressway at Khopoli approximately a 90 minute drive from Mumbai & Pune. Spread over 130 acres this ‘all weather family entertainment destination’ provides interesting experiences to all its guests, 365 days a year. 
","Adlabs Imagica, Sangadewadi, Maharashtra, India","Adlabs Imagica",,1,0,"+91 (22) 42130405 / 62552930","2017-08-15 16:16:00","2018-03-31 23:00:00",TMC,"Just book your travel at www.adlabsimagica.com and get 

1.       Twenty Percent (20%) Flat discount on a Regular ticket of the Theme park, Water park and Snow park.
2.       This Offer is not valid on Tuesday at the Theme park & on Wednesday at the Waterpark and selected Blackout days.
3.       Two offers cannot be clubbed together.
4.       This Offer is available only for online booking of tickets on “www.adlabsimagica.com” 
5.       This Offer is applicable only on the entry ticket to the Parks. This Offer is not available on food and other add-on activities/ 
          Packages available at the website/Park.
6.       Child Ticket for children from 5 to 12 years at Theme park and Waterpark.
7.       Pre Schooler ticket applicable for Children between 3 to below 5 years old at Theme park",1,,,20,,https://www.adlabsimagica.com/,https://www.facebook.com/AdlabsImagica/,,1
2332,"2017-09-15 15:47:14","Enroll Now! Don't just be smart! Be Tatthastu Smart!",Tatthastu,,"a:3:{s:7:""address"";s:36:""Tatthastu, Thane, Maharashtra, India"";s:3:""lat"";s:10:""19.1862392"";s:3:""lng"";s:17:""72.97378800000001"";}",,,95,,"89,90,91,92,93,94,131",0,1,https://s3-eu-west-1.amazonaws.com/wp-images.digithane.in/uploads/2017/09/WhatsApp-Image-2017-10-06-at-12.12.25-PM-1.jpeg,,,2487," Tatthastu brings exciting offers for you and your ward. Be it self-discovery, learning or stress buster! They have got everything covered for you.","Calling all Thaneites, Tatthastu offers flat 15% off on all their coachings. So what are you waiting for? Grab this amazing deal before it's gone! Different individuals have different requirements, but what if you get everything you need under one roof and more?  Tatthastu is ""The"" place which provides various courses, it's a one stop destination for various courses.  ","12A, Rajdarshan Building, Off Dada Patil Wadi, Opp Platform no 1, Station Road, Thane (West), Thane, Maharashtra 400602","Station Road",,1,0,"9930740099 / 8080133399 / 7700011249","2017-09-15 00:00:00","2017-12-31 00:00:00",,"• Focus on High Interaction; participants are called on to engage in activities & discussions throughout the training session(s)
• Various Media are used to illustrate & drive home key points including illustrations,images, relevant photos, video clips, role playing & activities
• The FUN & LEARN approach that allows participants to learn more, remember more & apply more! ",1,,,15,,http://www.tatthastu.org/,https://www.facebook.com/tatthastu/?ref=br_rs,,1
2967,"2017-10-05 12:06:35","Mr. Brown-Got a sweet tooth?","Mr. Brown Confectionery",,,,,100,,"87,88,89,90,91,92,93,94,131",0,1,https://s3-eu-west-1.amazonaws.com/wp-images.digithane.in/uploads/2017/10/pexels-photo-227432.jpeg,,,2966,"Mr. Brown Confectionery is a answer to all your sweet cravings.","Let's bake the world a better place. 

A Cake+ Offers= Good Mood. 

There are numerous temptations in this world, but cake has to be one of the biggest of them. 
Find your way of happiness with exciting offers on your favourite cakes. 
","Shop no. 20, Building no. B/2, ,Prestige garden, Almeda Road, Opp Shreeji Villa, Next to nitin Company, Thane (W) 400 601","Near Nitin Company",,1,0,"022 6565 0527","2017-09-17 09:00:00","2017-12-31 23:00:00",,"Flat 20 % discount on Cake, Pastry, Khari, toast and Bread from 9pm to 11pm",1,,,20,,,,,1
2424,"2017-09-18 18:56:30","Let's Mall-ify!!!","Viviana Mall",,"a:3:{s:7:""address"";s:39:""Viviana Mall, Thane, Maharashtra, India"";s:3:""lat"";s:10:""19.2089391"";s:3:""lng"";s:17:""72.97139990000005"";}",,,99,,"91,92,93",0,1,https://s3-eu-west-1.amazonaws.com/wp-images.digithane.in/uploads/2017/09/VivianaMall-Thane-Logo.jpg,,,2435,"Your very own favourite shopping and hangout destination brings you exciting offers! ","Free parking for customers once every month for the first 1 year post launch of this initiative. ","Eastern Express Highway, On Service Road, Next To Jupiter Hospital, Thane West, Thane, Maharashtra 400601","Viviana Mall",,1,0,"022 2172 5725","2017-09-18 11:00:00","2018-09-18 00:00:00",,"Your very own favourite shopping and hangout destination brings you exciting offers! Free parking for customers once every month for the first 1 year post launch of this initiative. ",0,,,,,http://vivianamalls.com,,,1
2482,"2017-09-19 15:55:59","Relax and Unwind at M78 Beauty Salon","M78 Beauty Salon",,,,,97,,"90,91,92,93,131",0,1,https://s3-eu-west-1.amazonaws.com/wp-images.digithane.in/uploads/2017/09/pexels-photo-332046.jpeg,,,2051,"M78 Beauty Salon spa offers you the therapies which are not only rejuvenating but soothing as well. ","After a long and tiring day calls for relaxation and De-stressing sessions. M78 Beauty Salon spa offers you the therapies which are not only rejuvenating but soothing as well. ","Shop No 1, Nakshatra Tower, Next to Saraswat Bank, Almeida Road, Opp.TMC, Panchpakhadi, Thane-400602 ","Almeida Road",,1,0,022-21645493,"2017-09-19 00:00:00","2017-12-31 00:00:00",,"30% off on and above Rs. 3000 exclusively for Thane outlet 
50% off on and above Rs. 5000, and additional free membership card only for DigiThane members",1,,,50,,,,,1
2486,"2017-09-20 07:47:16","Train your Cyber Senses-Tatthastu",Tatthastu,,"a:3:{s:7:""address"";s:120:""12A, Rajdarshan Building, Off Dada Patil wadi, Opp Platform no 1,, Station Road, Thane (West), Thane, Maharashtra 400602"";s:3:""lat"";s:10:""19.1862392"";s:3:""lng"";s:17:""72.97378800000001"";}",,,95,,"91,92,93",0,1,https://s3-eu-west-1.amazonaws.com/wp-images.digithane.in/uploads/2017/09/pexels-photo-374631.jpeg,,,2487,"If you have the need for Training, we have the Perfect Trainers for you…","Tatthastu's Foundation Certificate in Information Security (FCIS) course is designed to provide the foundation of knowledge necessary for individuals who have IT or information security responsibilities as part of their day-to-day role, or who are thinking of moving into an information security function.","12A, Rajdarshan Building,
Off Dada Patil wadi,
Opp Platform no 1,,
Station Road, Thane (West),
Thane, Maharashtra 400602","Thane West",,1,0,"9930740099 / 8080133399 / 7700011249","2017-09-20 14:00:00","2017-12-31 00:00:00",,"Total Duration: 20 hours (Theory + Hands-On Practicals)",1,8000,6800,15,,http://www.tatthastu.org,https://www.facebook.com/tatthastu/,,1
2497,"2017-09-20 08:27:49","Tatthastu's Yuva Empowerment Workshop",Tatthastu,,"a:3:{s:7:""address"";s:120:""12A, Rajdarshan Building, Off Dada Patil wadi, Opp Platform no 1,, Station Road, Thane (West), Thane, Maharashtra 400602"";s:3:""lat"";s:10:""19.1862392"";s:3:""lng"";s:17:""72.97378800000001"";}",,,95,,"91,92,93",0,1,https://s3-eu-west-1.amazonaws.com/wp-images.digithane.in/uploads/2017/09/pexels-photo-398532.jpeg,,,2487,"To accelerate personal all-round excellence.","100% Result Oriented Workshop to accelerate personal all-round excellence.
Learn how to…
Use Your Time To The Fullest (Time Management)
Overcome Procrastination
Goal Setting In All Aspects Of Life
Use Powerful Body Language
Deliver A Great Presentation
Create An Awesome Impression In Your Meetings
Positively Influence People Around You
Overcome Stress & Achieve Emotional Intelligence
Develop Abilities To Solve Problems, Resolve Crisis
Make Quick, Smart Decisions Pro
Become a better Negotiator & Communicator
Develop your Interview Skills & Handle challenging Interview
questions with confidence","12A, Rajdarshan Building,
Off Dada Patil wadi,
Opp Platform no 1,,
Station Road, Thane (West),
Thane, Maharashtra 400602","Thane West",,1,0,"9930740099 / 8080133399 / 7700011249","2017-09-20 14:00:00","2017-12-30 16:00:00",,"Duration: 24 Hours
Option 1: 4 HoursDaily. Total Duration-6 Days
Option 2: 8 HoursDaily. Total Duration-3 Days
Equipment Needed: Conference / Seminar hall, Microphone and speaker system & projector",1,8000,6800,15,,http://www.tatthastu.org,https://www.facebook.com/tatthastu/,,1
2507,"2017-09-20 08:47:11","Tatthastu- Excel Exposure",Tatthastu,,"a:3:{s:7:""address"";s:120:""12A, Rajdarshan Building, Off Dada Patil wadi, Opp Platform no 1,, Station Road, Thane (West), Thane, Maharashtra 400602"";s:3:""lat"";s:10:""19.1862392"";s:3:""lng"";s:17:""72.97378800000001"";}",,,95,,"90,91,92,93",0,1,https://s3-eu-west-1.amazonaws.com/wp-images.digithane.in/uploads/2017/09/excel-1771393_1920.jpg,,,2487,"Learn Excel Basics That Will Assist You When Using Excel Functions and Formulas."," By participating in basic Excel Courseware, you will have the opportunity to gain a good working knowledge of the nuts and bolts of the software. This is just what you need to increase your productivity and take your current Excel skills to the next level!","12A, Rajdarshan Building,
Off Dada Patil wadi,
Opp Platform no 1,,
Station Road, Thane (West),
Thane, Maharashtra 400602","Thane West",,1,0,"9930740099 / 8080133399 / 7700011249","2017-09-20 15:00:00","2017-12-31 00:00:00",,"Duration: 8 Hours (Hands On Practicals)
Fees: Rs. 8000/-",1,8000,6800,15,,http://www.tatthastu.org,https://www.facebook.com/tatthastu/,,1
2512,"2017-09-20 09:16:34","Watch your Time !",Tatthastu,,"a:3:{s:7:""address"";s:119:""12A, Rajdarshan Building, Off Dada Patil wadi, Opp Platform no 1, Station Road, Thane (West), Thane, Maharashtra 400602"";s:3:""lat"";s:10:""19.1862392"";s:3:""lng"";s:17:""72.97378800000001"";}",,50,95,,"89,90,91,92",0,1,https://s3-eu-west-1.amazonaws.com/wp-images.digithane.in/uploads/2017/09/hourglass-time-hours-sand-39396.jpeg,,,2487,"Learn to use your time to its optimum level.","What is the one thing a poor man has in common with a rich man, a successful man has in common with
an unsuccessful man? They all have exactly 24 hours each! The difference is in how they USE this time.
Learn to use your time to its optimum level.
Learn to manage time & see amazing improvements in all spheres of life!","12A, Rajdarshan Building,
Off Dada Patil wadi,
Opp Platform no 1,
Station Road, Thane (West),
Thane, Maharashtra 400602
",,,1,0,"9930740099 / 8080133399 / 7700011249","2017-09-20 15:00:00","2017-12-31 16:00:00",,"Duration: 4 Hours
",1,5000,4250,15,,http://www.tatthastu.org,https://www.facebook.com/tatthastu/,,1
2519,"2017-09-20 09:39:19","Excel Sense - ADVANCED MS EXCEL TRAINING at Tatthastu",Tatthastu,,"a:3:{s:7:""address"";s:120:""12A, Rajdarshan Building, Off Dada Patil wadi, Opp Platform no 1,, Station Road, Thane (West), Thane, Maharashtra 400602"";s:3:""lat"";s:10:""19.1862392"";s:3:""lng"";s:17:""72.97378800000001"";}",,,95,,"90,91,92,93",0,1,https://s3-eu-west-1.amazonaws.com/wp-images.digithane.in/uploads/2017/09/apple-1850613_1920.jpg,,,2487,"Advanced Excel Courseware","Improve your productivity and set yourself apart with advanced Excel training courses from Tatthastu","12A, Rajdarshan Building,
Off Dada Patil wadi,
Opp Platform no 1,,
Station Road, Thane (West),
Thane, Maharashtra 400602
","Thane West",,1,0,9930740099/9820104106,"2017-09-20 16:00:00","2017-12-20 16:00:00",,"Duration: 30 Hours (Hands On Practicals)
",1,15000,12750,15,,http://www.tatthastu.org,https://www.facebook.com/tatthastu/,,1
2522,"2017-09-20 09:51:44","Tatthastu-Goal Setting Miracles!",Tatthastu,,"a:3:{s:7:""address"";s:121:"" 12A, Rajdarshan Building, Off Dada Patil wadi, Opp Platform no 1,, Station Road, Thane (West), Thane, Maharashtra 400602"";s:3:""lat"";s:10:""19.1862392"";s:3:""lng"";s:17:""72.97378800000001"";}",,,95,,"89,90,91,92,93",0,1,https://s3-eu-west-1.amazonaws.com/wp-images.digithane.in/uploads/2017/09/pexels-photo-242494.jpeg,,,2487,"Direct your life and become the architect of your own life","Goal Setting – Would you watch a football game if there were no goals? Would you sit in a cab if you did not know where it will take you? Yet we live our life without any idea where we are going.
Learn the most important step in taking charge of your life
Direct your life and become the architect of your own life
","12A, Rajdarshan Building,
Off Dada Patil wadi,
Opp Platform no 1,,
Station Road, Thane (West),
Thane, Maharashtra 400602
","Thane West",,1,0,"9930740099 / 8080133399 / 7700011249","2017-09-20 16:00:00","2017-12-20 17:00:00",,"Duration: 6 Hours",1,6000,5100,15,,http://www.tatthastu.org,https://www.facebook.com/tatthastu/,,1
2526,"2017-09-20 10:12:38","Handle Your Emotions Better‎-Tatthastu",Tatthastu,,"a:3:{s:7:""address"";s:121:"" 12A, Rajdarshan Building, Off Dada Patil wadi, Opp Platform no 1,, Station Road, Thane (West), Thane, Maharashtra 400602"";s:3:""lat"";s:10:""19.1862392"";s:3:""lng"";s:17:""72.97378800000001"";}",,,95,,"91,92,93",0,1,https://s3-eu-west-1.amazonaws.com/wp-images.digithane.in/uploads/2017/09/smilies-funny-emoticon-faces-160760.jpeg,,,2487,"Emotional Intelligence Training for people management skills to give you the ability to be aware of and manage ones and others emotions.","Sometimes, our emotions get the better of us. We say things that we never meant or do things that can permanently hurt the emotions of the other person. In a fit of anger or emotional outbursts, we make mistakes that are afterwards very difficult to rectify and at times, the damage is irreversible.
Under stress we may tend to hurt the feeling of other person. The stress that a person has may
later lead to depression. Your ability to control your emotions and perform under stress is more
important than your Intelligence. Learn to use your rational mind and take charge of your
emotions. Stay in control no matter the situation.Learn to develop your Emotional Intelligence and gain better control over your rational mind compared to the animal mind.
","12A, Rajdarshan Building,
Off Dada Patil wadi,
Opp Platform no 1,,
Station Road, Thane (West),
Thane, Maharashtra 400602
","Thane West",,1,0,"9930740099 / 8080133399 / 7700011249","2017-09-20 16:00:00","2017-12-31 16:00:00",,"Duration: 8 Hours",1,5000,4250,15,,http://www.tatthastu.org,https://www.facebook.com/tatthastu/,,1
2529,"2017-09-20 10:34:35","Tatthastu-Want to Ace your Negotiating Skills?",Tatthastu,,"a:3:{s:7:""address"";s:119:"" 12A, Rajdarshan Building, Off Dada Patil wadi, Opp Platform no 1,Station Road, Thane (West), Thane, Maharashtra 400602"";s:3:""lat"";s:10:""19.1862392"";s:3:""lng"";s:17:""72.97378800000001"";}",,,95,,"90,91,92,93",0,1,https://s3-eu-west-1.amazonaws.com/wp-images.digithane.in/uploads/2017/09/pexels-photo-327538.jpeg,,,2487,"Improve your negotiating skills and learn what really interests people in a negotiation. Understand your negotiating style, and how to influence others who have differing styles.","Are you the type of person who lets others decide what is the value of things? Or are you the type who knows the value of things?Are you willing to pay more for something than its actual worth?Or will you negotiate?Who decides what you are worth?
Learn to negotiate to get a better deal whether in salary or in business or in a contract or on delivery terms or in pricing. Learn the fine art of negotiation to get a better deal and get what you are truly worth!
","12A, Rajdarshan Building,
Off Dada Patil wadi,
Opp Platform no 1,,
Station Road, Thane (West),
Thane, Maharashtra 400602
","Thane West",,1,0,"9930740099 / 8080133399 / 7700011249","2017-09-20 16:00:00","2017-12-31 18:00:00",,"Duration: 7 Hours",1,5000,4250,15,,http://www.tatthastu.org,https://www.facebook.com/tatthastu/,,1
2532,"2017-09-20 11:06:25","Tatthastu-Enhance Your Digital Marketing Know How",Tatthastu,,"a:3:{s:7:""address"";s:120:""12A, Rajdarshan Building, Off Dada Patil wadi, Opp Platform no 1,, Station Road, Thane (West), Thane, Maharashtra 400602"";s:3:""lat"";s:10:""19.1862392"";s:3:""lng"";s:17:""72.97378800000001"";}",,,95,,"91,92,93",0,1,https://s3-eu-west-1.amazonaws.com/wp-images.digithane.in/uploads/2017/09/online-marketing-1246457_1920.jpg,,,2487,"It's Not As Difficult As You Think","Learn to track online trends in any given industry as they change daily, weekly and monthly, as well as monitor what drives traffic to and from websites, social networks, internet forums, and so on. 
Tatthastu's Digital Marketing Foundation Courseware is designed and updated as per latest digital marketing industry standards and thus refreshed with the advancements in the subject.","12A, Rajdarshan Building,
Off Dada Patil wadi,
Opp Platform no 1,,
Station Road, Thane (West),
Thane, Maharashtra 400602","Thane West",,1,0,"9930740099 / 8080133399 / 7700011249","2017-09-20 17:00:00","2017-12-20 18:00:00",,"Duration: 40 Hours",1,25000,21250,15,,http://www.tatthastu.org,https://www.facebook.com/tatthastu/,,1
2560,"2017-09-20 12:24:33","Whatta Waffle!","Whatta Waffle!",,"a:3:{s:7:""address"";s:71:""Shop No.11, Goldcroft CHS Ltd, Hiranandani Estate, Thane (West)- 400607"";s:3:""lat"";s:9:""19.258515"";s:3:""lng"";s:17:""72.98484699999995"";}",,,100,,"89,90,91,92,93,131",0,1,https://s3-eu-west-1.amazonaws.com/wp-images.digithane.in/uploads/2017/09/21768396_1517050415041204_5357077969676952594_n.png,,,2558,"We serve the best Waffles, Pancakes, Thick Shakes etc in Thane","Located in Hiranandani Estate, Whatta Waffle serves a wide range of Sweet & Savoury Waffles. 
We also serve a large variety of Pancakes, Thick Shakes, Iced Teas and other beverages. ","Shop No.11, Goldcroft CHS Ltd, Hiranandani Estate, Thane (West)- 400607","Hiranandani Estate",,1,0,"8898551155/ 8898553355","2017-09-20 18:00:00","2017-12-20 18:00:00",,"This offer cannot be clubbed with any other offer. 
This offer cannot be availed on Weekends and National/ State Holidays. 
",1,150,135,10,,,,,1
2535,"2017-09-20 12:41:13","A picture worth a thousand words-Magic Pixels","Magic Pixels",,"a:3:{s:7:""address"";s:82:""Shop no 3, Near Nakhwa High School, Lokmanya Tilak Road, Thane, Maharashtra 400603"";s:3:""lat"";s:9:""19.182388"";s:3:""lng"";s:17:""72.97704499999998"";}",,,99,,"87,88,89,90,91,92,93,94,131",0,1,https://s3-eu-west-1.amazonaws.com/wp-images.digithane.in/uploads/2017/09/WhatsApp-Image-2017-10-05-at-11.27.15-AM.jpeg,,,2533,"Capture that eternal bliss of your moments until the end of time. Take an instant out of time, altering the life by holding it still. ","Capture that eternal bliss of your moments until the end of time. Take an instant out of time, altering the life by holding it still. Click every moment of your life which adds the fresh page in your life. A new story to tell. A journey to unravel. ","Shop no 3, Near Nakhwa High School, Lokmanya Tilak Road, Thane, Maharashtra 400603","Near Nakhwa High School",,1,0,"091679 11698","2017-09-20 19:00:00","2017-12-31 18:00:00",,"1. 20% discount on portfolio.
 2. 30 % discount on Pre wedding shoot.
 3. 10% discount on Wedding shoot packages.
 4. 20% discount on parties package shoot.
 5. 35% discount on Candid photo shoot.
 6. 40% discount on Combo wedding packages.
 7.10% discount on destination wedding shoot.",1,,200,40,,,,,1
2544,"2017-09-20 12:54:35","Stronger the Teeth, Better the Health-Multispeciality Dental Clinic","Multispeciality Dental Clinic",,"a:3:{s:7:""address"";s:104:""1st Floor, Neelam Building, Opp. S.B.I., Gurukul Soc.Lane, Panchpakhadi,Thane - West, Maharashtra 400602"";s:3:""lat"";s:9:""19.195294"";s:3:""lng"";s:17:""72.96556799999996"";}",,,97,,"87,88,89,90,91,92,93,94,131",0,1,https://s3-eu-west-1.amazonaws.com/wp-images.digithane.in/uploads/2017/09/teeth-1652976_1920.jpg,,,2542,"A genuine smile comes from the heart, but a healthy smile comes from a good dental care","You know the famous quote, ""Dentistry is not expensive, but the neglect is"" Don't neglect your dental health as strong teeth is a key to healthy life. Multispeciality Dental Clinic knows this and offers Minimum 20% discount on all services.","1st Floor, Neelam Building, Opp. S.B.I., Gurukul Soc.Lane, Panchpakhadi, Thane - West, Maharashtra 400602",Panchpakhadi,,1,0,"022 6528 0733","2017-09-20 19:00:00","2017-12-20 19:00:00",,"20% discount on all services.",1,,,20,,,,,1
